0,1,2,3
"“April sales tax revenue growth, moderately in excess of general price inflation, suggests economic expansion conti… https://t.co/0D1fvHMxKO",2023-05-01 21:37:39+00:00,txcomptroller,State of Texas
recession 😒,2023-05-01 21:28:09+00:00,BLOODYROSEINC,"San Benito, TX"
"""Are sugar water companies a good 'Defensive Play' as we move into recession?""  https://t.co/0fCZFdgYRM  #PEP #KO… https://t.co/vHjHQ3UJ9J",2023-05-01 21:21:07+00:00,GannAnalysisLLC,"Houston, TX"
"The flash PMIs from April indicate a lot of factors have lost their shock factor to the markets, pointing to more s… https://t.co/bcfZS6gCeS",2023-05-01 21:02:05+00:00,fisherinvest,"Plano, TX"
"@TheSiteSupply We in a recession bro, it had nothing to do with hype, mfs can’t pay their bills let alone buy $1000+ shoes",2023-05-01 21:01:30+00:00,RedRaider2123,"Houston, TX"
"@sethjlevy It happened again in 2015.
https://t.co/pYRkkNmSA3",2023-05-01 20:28:42+00:00,pulpfan02,"La Grange, Texas"
"The ""Soft Landing"" and ""Mild Recession"" brought to you by the @federalreserve https://t.co/eu7FUBhAB8",2023-05-01 20:27:54+00:00,Sovereign_Matt,Earth
@Polymarket @alifarhat79 He is the recession!!!,2023-05-01 20:22:45+00:00,Chano1274,Monterrey
Breaking: CoreLogic's Feb 2023 Loan Performance Insights Report found 3% of US mortgages were delinquent. With the… https://t.co/RRxpYK8DD4,2023-05-01 20:18:53+00:00,FiveStarInst,"Dallas, TX"
"@TauraTheOtter With my hours getting cut at work cause the coming recession, I can’t help till I find a second/anot… https://t.co/aDvRuhRCvB",2023-05-01 20:06:16+00:00,KhanaOtter,"Dallas, TX"
@BachemMacuno @AubreyandGus @feverspell Dude a 3rd bank just failed… the federal reserve is saying a recession will… https://t.co/Ssmu4dPDbZ,2023-05-01 20:03:44+00:00,TraderWeekend,"Phoenix, AZ"
"My credit limit just jumped 10x in 4 months.

Preparing for recession.",2023-05-01 20:03:26+00:00,MMAFayce,"Dallas,Texas"
@IBD_ECarson Yo Mr. Ed... I believe you know the answer to that question.... there will be MORE! .....Oh by the way… https://t.co/aVc7pBXzbP,2023-05-01 19:36:41+00:00,MartyChargin,"Oro Valley, AZ"
"Guggenheim Group CIO on Private Credit, Recession, Banks https://t.co/HgFYj2CyPJ via @YouTube",2023-05-01 19:35:09+00:00,JPOelzeCFA,"Arizona, USA"
"@WhiteHouse Biden economic plan: highest inflation in 40 years, so far 3 bank runs (including second largest one in… https://t.co/qcWESFQiKu",2023-05-01 19:24:13+00:00,parma1957,"Houston, TX"
@POTUS 🤣🤣 the puppet who’s leading us to recession,2023-05-01 19:16:41+00:00,KelliBain57,"Tulsa, OK"
"@Mont_Jiang It feels like they’re trying to slow pedal a recession, just push it as far back as possible.",2023-05-01 19:12:28+00:00,li_dawei98,"Dallas, TX"
@HillaryClinton Misleading. Increasing the debt while the GDP grows is ok (Trump). Doing that while economy heads t… https://t.co/lUlnrvTbEN,2023-05-01 19:07:23+00:00,parma1957,"Houston, TX"
"@KamalaHarris @JoeBiden Yeaahhh. You both need to finish the job, including 
- recession&amp;stagflation 
-highest infl… https://t.co/A50I2d4qj7",2023-05-01 19:04:02+00:00,parma1957,"Houston, TX"
"Recession 2023: What to Watch and How to Prepare - Real Estate Investor Pulse https://t.co/s0mgJSKqP4

#Recession… https://t.co/D1uhtQRQsj",2023-05-01 19:00:26+00:00,REInvestorPulse,"Austin, TX"
“The problem for #investors right now is that it’s still possible to construct fairly divergent narratives about th… https://t.co/cs723iHGGV,2023-05-01 19:00:02+00:00,CassieLincoln1,"Houston, TX"
@RealJamesWoods It’s cute how they always become monopolies financed by the average Joe through inflation/recession… https://t.co/eVCKHlv4FD,2023-05-01 18:44:37+00:00,RealJasonNelson,"China Spring, TX"
that academic recession is OVER,2023-05-01 18:30:31+00:00,BLOODYROSEINC,"San Benito, TX"
"So does the old adage of “sell in May and go away” apply in this market?

If you’re ready to retire, when do you re… https://t.co/huK2xUIHmN",2023-05-01 18:19:46+00:00,VanRichards,"Houston, Texas"
