text,TextBlob_Subjectivity,TextBlob_Polarity,TextBlob_Analysis
"“April sales tax revenue growth, moderately in excess of general price inflation, suggests economic expansion conti… https://t.co/0D1fvHMxKO",0.4666666666666666,0.08333333333333333,positive
recession 😒,0.0,0.0,neutral
"""Are sugar water companies a good 'Defensive Play' as we move into recession?""  https://t.co/0fCZFdgYRM  #PEP #KO… https://t.co/vHjHQ3UJ9J",0.6000000000000001,0.7,positive
"The flash PMIs from April indicate a lot of factors have lost their shock factor to the markets, pointing to more s… https://t.co/bcfZS6gCeS",0.5,0.5,positive
"@TheSiteSupply We in a recession bro, it had nothing to do with hype, mfs can’t pay their bills let alone buy $1000+ shoes",0.0,0.0,neutral
"@sethjlevy It happened again in 2015.
https://t.co/pYRkkNmSA3",0.0,0.0,neutral
"The ""Soft Landing"" and ""Mild Recession"" brought to you by the @federalreserve https://t.co/eu7FUBhAB8",0.425,0.21666666666666667,positive
@Polymarket @alifarhat79 He is the recession!!!,0.0,0.0,neutral
Breaking: CoreLogic's Feb 2023 Loan Performance Insights Report found 3% of US mortgages were delinquent. With the… https://t.co/RRxpYK8DD4,0.0,0.0,neutral
"@TauraTheOtter With my hours getting cut at work cause the coming recession, I can’t help till I find a second/anot… https://t.co/aDvRuhRCvB",0.0,0.0,neutral
@BachemMacuno @AubreyandGus @feverspell Dude a 3rd bank just failed… the federal reserve is saying a recession will… https://t.co/Ssmu4dPDbZ,0.15,-0.25,negative
"My credit limit just jumped 10x in 4 months.

Preparing for recession.",0.0,0.0,neutral
@IBD_ECarson Yo Mr. Ed... I believe you know the answer to that question.... there will be MORE! .....Oh by the way… https://t.co/aVc7pBXzbP,0.5,0.5,positive
"Guggenheim Group CIO on Private Credit, Recession, Banks https://t.co/HgFYj2CyPJ via @YouTube",0.375,0.0,neutral
"@WhiteHouse Biden economic plan: highest inflation in 40 years, so far 3 bank runs (including second largest one in… https://t.co/qcWESFQiKu",0.39999999999999997,0.10000000000000002,positive
@POTUS 🤣🤣 the puppet who’s leading us to recession,0.0,0.0,neutral
"@Mont_Jiang It feels like they’re trying to slow pedal a recession, just push it as far back as possible.",0.6,-0.05000000000000001,negative
